Date,AAPL,AXP,BA,HD,JNJ,KO,NKE,PFE,PG
2009-12-02,24.391418,35.351646,41.83358,22.359236,47.261723,19.775347,11.93042,12.966289,46.127064
2009-12-03,24.422493,33.482407,41.825794,22.043543,47.468887,19.539932,12.004674,12.897098,45.667191
2009-12-04,24.029699,33.852802,42.533646,22.161928,47.616856,19.614992,11.935991,12.793309,45.696373
2009-12-07,23.486513,33.947563,43.420425,22.272419,47.624256,19.744638,11.980538,12.495791,45.60149
2009-12-08,23.600866,33.706367,43.295948,21.838345,47.535465,19.679821,11.793053,12.288222,45.163502
2009-12-09,24.586569,34.352421,43.148186,21.743624,47.631653,19.730999,11.499761,12.620336,45.43359
2009-12-10,24.416273,34.6539,42.790352,22.090897,47.920189,19.986889,11.638982,12.675686,45.43359
2009-12-11,24.19751,35.084587,43.249283,22.485516,47.979397,20.167719,11.854315,12.661848,45.506599
2009-12-14,24.484638,35.558357,43.599316,22.785427,48.06076,20.143837,11.910005,12.73104,45.995678
2009-12-15,24.135363,35.282711,43.303745,22.903812,47.897999,20.15066,11.945273,12.654931,45.345997
2009-12-16,24.242254,35.549751,42.883698,22.856457,47.94239,19.932299,11.889585,12.73796,45.375202
2009-12-17,23.848227,34.843414,42.370293,22.730181,47.698246,19.440989,11.741079,12.606495,44.959106
2009-12-18,24.291979,34.895084,41.569096,22.611784,47.624256,19.420521,11.958267,12.661848,44.929913
2009-12-21,24.640015,35.334408,42.238064,22.856457,47.594669,19.509226,12.043655,12.876338,44.747417
2009-12-22,24.904774,35.678955,42.860355,23.116913,47.742622,19.539932,12.084491,12.876338,44.747417
2009-12-23,25.121056,35.498066,42.751461,22.888033,47.772224,19.546757,12.14761,12.855582,44.754715
2009-12-24,25.983706,35.902924,43.155945,23.0222,47.868401,19.597933,12.112339,12.869421,44.732819
2009-12-28,26.303152,35.360237,42.891468,23.030098,48.045979,19.597933,12.158745,12.890176,44.710926
2009-12-29,25.991158,35.213814,42.945923,23.101124,48.045979,19.700291,12.290543,12.841744,44.951805
2009-12-30,26.306877,35.144897,42.751461,22.990631,48.023769,19.679821,12.277551,12.800229,44.798504
2009-12-31,26.193771,34.903706,42.10582,22.832783,47.653854,19.447811,12.264552,12.58574,44.258335
2010-01-04,26.601469,35.248253,43.700439,22.627573,47.853607,19.461458,12.130901,13.097752,44.616024
2010-01-05,26.647457,35.170746,45.131714,22.79332,47.298725,19.226036,12.179167,12.910937,44.630619
2010-01-06,26.223597,35.739265,46.500763,22.714397,47.683441,19.219215,12.104915,12.869421,44.41893
2010-01-07,26.175119,36.318905,48.383194,22.98274,47.343109,19.171446,12.22372,12.820988,44.178043
2010-01-08,26.34914,36.292961,47.916466,22.872246,47.505871,18.816612,12.199586,12.924775,44.119644
2010-01-11,26.116703,35.877682,47.348625,22.22506,47.513279,19.198738,12.049226,13.028556,43.94445
2010-01-12,25.819624,36.353512,47.006378,22.083002,47.764824,19.406866,12.032519,12.987042,44.448132
